plan_id,county_id
10091OR0750013-05,41039
71287OR0420001,41003
39424OR1620070,41053
71287OR0420022-06,41071
71287OR0420011-05,41005
10091OR0760005,41029
77969OR5280021-05,41055
56707OR1330004-05,41051
10091OR0760004,41069
63474OR0600009,41047
77969OR5280012,41045
10091OR0760004,41003
39424OR1620052,41069
39424OR1620062,41071
10091OR0750003,41039
39424OR1620072,41017
56707OR1410003,41037
77969OR5280021-05,41025
10091OR0750017,41045
56707OR1420003,41047
77969OR5280021,41025
77969OR5280015-05,41047
71287OR0420018,41039
63474OR0600010,41035
56707OR1350004,41049
39424OR1610002-05,41027
56707OR1360004-05,41055
39424OR1620054,41047
77969OR5280014-06,41043
77969OR5280003,41017
71287OR0420016,41043
39424OR1620063-06,41027
77969OR5290008-06,41067
77969OR5280022-05,41051
10091OR0760005,41043
39424OR1610002-06,41005
10091OR0750012,41051
10091OR0750005-04,41055
56707OR1430003,41047
71287OR0420002,41067
56707OR1360004,41049
56707OR1360004-06,41007
39424OR1620063,41071
39424OR1620069-06,41061
56707OR1360004-06,41039
77969OR5280010,41043
71287OR0420019,41053
10091OR0750012,41059
77969OR5280021-06,41057
63474OR0600010-04,41037
10091OR0750002,41017
77969OR5280021-04,41001
10091OR0750005-06,41025
56707OR1410003,41071
63474OR0600007,41069
63474OR0600010,41023
56707OR1380010,41005
77969OR5280014-05,41065
10091OR0760004,41027
39424OR1600002-05,41071
39424OR1620063,41065
10091OR0750004,41035
10091OR0750005,41023
39424OR1620074,41017
71287OR0420013,41053
10091OR0760004,41017
39424OR1620070,41021
77969OR5290005,41029
10091OR0750004-06,41049
77969OR5280014-06,41041
56707OR1380009-04,41071
10091OR0750013-04,41069
10091OR0750018,41017
10091OR0750005-06,41007
77969OR5280010,41001
10091OR0750013-04,41063
71287OR0420011-06,41003
10091OR0760001,41031
63474OR0600009,41015
77969OR5280014,41061
39424OR1620053-06,41017
77969OR5280022-05,41005
77969OR5280021-04,41005
39424OR1600001,41015
10091OR0750005-06,41053
39424OR1620076-04,41033
10091OR0750016,41031
10091OR0750005,41067
71287OR0420023,41039
10091OR0750004-04,41041
77969OR5280014-06,41031
77969OR5290001-06,41009
71287OR0420016,41047
77969OR5280014-04,41039
77969OR5280014-06,41071
39424OR1620069-04,41035
39424OR1620055,41055
56707OR1350004,41069
77969OR5280021-06,41015
39424OR1620074,41069
39424OR1610004,41021
77969OR5280014-06,41067
77969OR5290001-04,41071
77969OR5280021-05,41045
10091OR0750013,41067
63474OR0600010,41039
56707OR1330004,41005
71287OR0420003,41071
10091OR0750002,41035
77969OR5280021-05,41011
10091OR0750017,41035
71287OR0420022,41009
39424OR1620077,41061
39424OR1600002,41057
71287OR0420012-05,41027
39424OR1620070,41031
56707OR1350004,41045
77969OR5280003,41003
39424OR1620051,41049
39424OR1620055,41047
10091OR0750002,41045
77969OR5290001-05,41009
10091OR0750003,41061
77969OR5290001,41045
39424OR1620069-05,41047
56707OR1360004-04,41023
10091OR0750013-06,41011
56707OR1420003,41053
10091OR0750013-04,41009
10091OR0750005,41007
39424OR1620076-04,41027
10091OR0750004-06,41065
77969OR5280012,41025
39424OR1620053-04,41025
77969OR5280012,41039
63474OR0600007,41027
77969OR5280023,41055
77969OR5280030,41015
56707OR1350004,41033
10091OR0750013-04,41021
10091OR0750017,41023
39424OR1620069-04,41031
10091OR0750013-05,41047
71287OR0420022-04,41067
10091OR0750003,41051
77969OR5280014-05,41023
77969OR5280023,41047
63474OR0600010-04,41045
10091OR0750005,41031
77969OR5280023,41013
71287OR0420005,41005
10091OR0750005-06,41071
39424OR1610003,41027
77969OR5290001-05,41035
63474OR0600010-05,41009
63474OR0600009,41051
39424OR1620055,41001
39424OR1610004,41061
39424OR1620053-06,41019
39424OR1620076-05,41033
39424OR1620002-04,41007
10091OR0750004-05,41071
71287OR0420011-05,41051
77969OR5280021-06,41043
10091OR0750019,41055
56707OR1360004-04,41057
10091OR0750020,41009
10091OR0750019,41007
77969OR5280021,41029
10091OR0760003,41045
71287OR0420001,41039
